"symbol","company_name","previous_close"
"AACQ","Artius Acquisition Inc. - Class A Common Stock",9.920000076293945
"AAL","American Airlines Group, Inc. - Common Stock",21.489999771118164
"AAOI","Applied Optoelectronics, Inc. - Common Stock",7.21999979019165
"AAON","AAON, Inc. - Common Stock",64.0199966430664
"AAPL","Apple Inc. - Common Stock",129.74000549316406
"AAWW","Atlas Air Worldwide Holdings - Common Stock",71.37000274658203
"ABCB","Ameris Bancorp - Common Stock",57.0
"ABCL","AbCellera Biologics Inc. - Common Shares",28.700000762939453
"ABEO","Abeona Therapeutics Inc. - Common Stock",1.5199999809265137
"ABIO","ARCA biopharma, Inc. - Common Stock",3.0899999141693115
"ABMD","ABIOMED, Inc. - Common Stock",295.7200012207031
"ABNB","Airbnb, Inc. - Class A Common Stock",153.63999938964844
"ABST","Absolute Software Corporation - Common Stock",13.850000381469727
"ABTX","Allegiance Bancshares, Inc. - Common Stock",41.0
"ABUS","Arbutus Biopharma Corporation - Common Stock",2.799999952316284
"ACAC","Acies Acquisition Corp. - Class A Ordinary Share",9.960000038146973
"ACAD","ACADIA Pharmaceuticals Inc. - Common Stock",20.950000762939453
"ACGL","Arch Capital Group Ltd. - Common Stock",39.77000045776367
"ACHC","Acadia Healthcare Company, Inc. - Common Stock",63.83000183105469
"ACIU","AC Immune SA - Common Stock",6.039999961853027
"ACIW","ACI Worldwide, Inc. - Common Stock",37.560001373291016
"ACLS","Axcelis Technologies, Inc. - Common Stock",40.27000045776367
"ACMR","ACM Research, Inc. - Class A Common Stock",75.30999755859375
"ACRS","Aclaris Therapeutics, Inc. - Common Stock",23.829999923706055
"ACRX","AcelRx Pharmaceuticals, Inc. - Common Stock",1.1299999952316284
"ACTG","Acacia Research Corporation - Common Stock",5.909999847412109
"ADAP","Adaptimmune Therapeutics plc - American Depositary Shares",4.900000095367432
"ADBE","Adobe Inc. - Common Stock",483.6099853515625
"ADI","Analog Devices, Inc. - Common Stock",155.4199981689453
"ADMA","ADMA Biologics Inc - Common Stock",1.6399999856948853
"ADMP","Adamis Pharmaceuticals Corporation - Common Stock",0.7400000095367432
"ADMS","Adamas Pharmaceuticals, Inc. - Common Stock",5.019999980926514
"ADP","Automatic Data Processing, Inc. - Common Stock",195.32000732421875
"ADSK","Autodesk, Inc. - Common Stock",284.3500061035156
"ADTN","ADTRAN, Inc. - Common Stock",17.59000015258789
"ADV","Advantage Solutions Inc.  - Class A Common Stock",12.960000038146973
"ADVM","Adverum Biotechnologies, Inc. - Common Stock",3.690000057220459
"AEGN","Aegion Corp - Class A Common Stock",30.0
"AEIS","Advanced Energy Industries, Inc. - Common Stock",90.41000366210938
"AEP","American Electric Power Company, Inc. - Common Stock",88.12000274658203
"AERI","Aerie Pharmaceuticals, Inc. - Common Stock",17.1200008392334
"AEZS","Aeterna Zentaris Inc. - Common Stock",0.949999988079071
"AFYA","Afya Limited - Class A Common Shares",21.329999923706055
"AGEN","Agenus Inc. - Common Stock",2.819999933242798
"AGIO","Agios Pharmaceuticals, Inc. - Common Stock",55.099998474121094
"AGNC","AGNC Investment Corp. - Common Stock",18.209999084472656
"AGRX","Agile Therapeutics, Inc. - Common Stock",1.5199999809265137
"AIMC","Altra Industrial Motion Corp. - Common Stock",65.25
"AINV","Apollo Investment Corporation - Closed End Fund",14.720000267028809
"AIRG","Airgain, Inc. - Common Stock",22.459999084472656
"AKAM","Akamai Technologies, Inc. - Common Stock",110.18000030517578
"AKRO","Akero Therapeutics, Inc. - Common Stock",26.3700008392334
"AKTS","Akoustis Technologies, Inc. - Common Stock",9.210000038146973
"ALBO","Albireo Pharma, Inc. - Common Stock",30.190000534057617
"ALDX","Aldeyra Therapeutics, Inc. - Common Stock",12.050000190734863
"ALGN","Align Technology, Inc. - Common Stock",584.719970703125
"ALGT","Allegiant Travel Company - Common Stock",221.0
"ALKS","Alkermes plc - Ordinary Shares",22.010000228881836
"ALLK","Allakos Inc. - Common Stock",99.1500015258789
"ALLO","Allogene Therapeutics, Inc. - Common Stock",29.170000076293945
"ALLT","Allot Ltd. - Ordinary Shares",17.920000076293945
"ALNY","Alnylam Pharmaceuticals, Inc. - Common Stock",132.10000610351562
"ALRM","Alarm.com Holdings, Inc. - Common Stock",84.05999755859375
"ALT","Altimmune, Inc. - Common Stock",12.930000305175781
"ALXN","Alexion Pharmaceuticals, Inc. - Common Stock",169.86000061035156
"AMAT","Applied Materials, Inc. - Common Stock",131.72999572753906
"AMBA","Ambarella, Inc. - Ordinary Shares",90.61000061035156
"AMCX","AMC Networks Inc. - Class A Common Stock",45.54999923706055
"AMD","Advanced Micro Devices, Inc. - Common Stock",77.88999938964844
"AMED","Amedisys Inc - Common Stock",252.77999877929688
"AMGN","Amgen Inc. - Common Stock",251.3000030517578
"AMKR","Amkor Technology, Inc. - Common Stock",19.8799991607666
"AMNB","American National Bankshares, Inc. - Common Stock",34.81999969482422
"AMPH","Amphastar Pharmaceuticals, Inc. - Common Stock",18.049999237060547
"AMRN","Amarin Corporation plc - American Depositary Shares, each representing one Ordinary Share",4.539999961853027
"AMRS","Amyris, Inc. - Common Stock",11.40999984741211
"AMZN","Amazon.com, Inc. - Common Stock",3306.3701171875
"ANAB","AnaptysBio, Inc. - Common Stock",25.59000015258789
"ANAT","American National Group, Inc. - Common Stock",121.13999938964844
"ANDE","The Andersons, Inc. - Common Stock",31.030000686645508
"ANGI","Angi Inc. - Class A Common Stock",14.039999961853027
"ANIK","Anika Therapeutics Inc. - Common Stock",40.779998779296875
"ANSS","ANSYS, Inc. - Common Stock",332.6600036621094
"ANTE","AirNet Technology Inc. - American Depositary Shares, each representing ten ordinary shares",3.640000104904175
"AOSL","Alpha and Omega Semiconductor Limited - Common Shares",29.209999084472656
"APA","APA Corporation - Common Stock",21.43000030517578
"API","Agora, Inc. - ADS",41.86000061035156
"APOG","Apogee Enterprises, Inc. - Common Stock",36.34000015258789
"APPN","Appian Corporation - Class A Common Stock",98.93000030517578
"APPS","Digital Turbine, Inc. - Common Stock",61.22999954223633
"APYX","Apyx Medical Corporation - Common Stock",9.34000015258789
"AQB","AquaBounty Technologies, Inc. - Common Stock",5.179999828338623
"AQST","Aquestive Therapeutics, Inc. - Common Stock",3.509999990463257
"ARAV","Aravive, Inc. - Common Stock",4.840000152587891
"ARAY","Accuray Incorporated - Common Stock",4.510000228881836
"ARCB","ArcBest Corporation - Common Stock",86.58000183105469
"ARCC","Ares Capital Corporation - Closed End Fund",19.059999465942383
"ARCT","Arcturus Therapeutics Holdings Inc. - Common Stock",30.149999618530273
"ARGX","argenx SE - American Depositary Shares",258.2799987792969
"ARLP","Alliance Resource Partners, L.P. - Common Units Representing Limited Partnership Interests",5.849999904632568
"ARVL","Arrival - Ordinary Shares",17.950000762939453
"ARVN","Arvinas, Inc. - Common Stock",63.150001525878906
"ARWR","Arrowhead Pharmaceuticals, Inc. - Common Stock",65.66000366210938
"ARYA","ARYA Sciences Acquisition Corp III - Class A Ordinary Shares",10.119999885559082
"ASMB","Assembly Biosciences, Inc. - Common Stock",3.9200000762939453
"ASML","ASML Holding N.V. - New York Registry Shares",644.3400268554688
"ASND","Ascendis Pharma A/S - American Depositary Shares",132.89999389648438
"ASO","Academy Sports and Outdoors, Inc. - Common Stock",34.0099983215332
"ASPS","Altisource Portfolio Solutions S.A. - Common Stock",6.849999904632568
"ASPU","Aspen Group Inc. - Common Stock",5.239999771118164
"ASRT","Assertio Holdings, Inc. - Common Stock",0.5
"ASRV","AmeriServ Financial Inc. - Common Stock",4.28000020980835
"ASTE","Astec Industries, Inc. - Common Stock",67.62999725341797
"ASUR","Asure Software Inc - Common Stock",8.100000381469727
"ASYS","Amtech Systems, Inc. - Common Stock",10.0
"ATAX","America First Multifamily Investors, L.P. - Beneficial Unit Certificates (BUCs) representing Limited Partnership Interests",5.940000057220459
"ATEX","Anterix Inc. - Common Stock",47.560001373291016
"ATHX","Athersys, Inc. - Common Stock",1.559999942779541
"ATNI","ATN International, Inc. - Common Stock",48.290000915527344
"ATRA","Atara Biotherapeutics, Inc. - Common Stock",12.890000343322754
"ATRS","Antares Pharma, Inc. - Common Stock",3.5999999046325684
"ATSG","Air Transport Services Group, Inc - Common Stock",25.31999969482422
"ATVI","Activision Blizzard, Inc - Common Stock",93.02999877929688
"AUDC","AudioCodes Ltd. - Ordinary Shares",31.010000228881836
