"symbol","company_name","previous_close"
"AACQ","Artius Acquisition Inc. - Class A Common Stock",9.920000076293944
"AAOI","Applied Optoelectronics, Inc. - Common Stock",7.21999979019165
"ABEO","Abeona Therapeutics Inc. - Common Stock",1.5199999809265137
"ABIO","ARCA biopharma, Inc. - Common Stock",3.0899999141693115
"ABST","Absolute Software Corporation - Common Stock",13.850000381469728
"ABUS","Arbutus Biopharma Corporation - Common Stock",2.799999952316284
"ACAC","Acies Acquisition Corp. - Class A Ordinary Share",9.960000038146973
"ACIU","AC Immune SA - Common Stock",6.039999961853027
"ACRX","AcelRx Pharmaceuticals, Inc. - Common Stock",1.1299999952316284
"ACTG","Acacia Research Corporation - Common Stock",5.909999847412109
"ADAP","Adaptimmune Therapeutics plc - American Depositary Shares",4.900000095367432
"ADMA","ADMA Biologics Inc - Common Stock",1.6399999856948853
"ADMP","Adamis Pharmaceuticals Corporation - Common Stock",0.7400000095367432
"ADMS","Adamas Pharmaceuticals, Inc. - Common Stock",5.019999980926514
"ADTN","ADTRAN, Inc. - Common Stock",17.59000015258789
"ADV","Advantage Solutions Inc.  - Class A Common Stock",12.960000038146973
"ADVM","Adverum Biotechnologies, Inc. - Common Stock",3.690000057220459
"AERI","Aerie Pharmaceuticals, Inc. - Common Stock",17.1200008392334
"AEZS","Aeterna Zentaris Inc. - Common Stock",0.949999988079071
"AGEN","Agenus Inc. - Common Stock",2.819999933242798
"AGNC","AGNC Investment Corp. - Common Stock",18.209999084472656
"AGRX","Agile Therapeutics, Inc. - Common Stock",1.5199999809265137
"AINV","Apollo Investment Corporation - Closed End Fund",14.720000267028809
"AKTS","Akoustis Technologies, Inc. - Common Stock",9.210000038146973
"ALDX","Aldeyra Therapeutics, Inc. - Common Stock",12.050000190734863
"ALLT","Allot Ltd. - Ordinary Shares",17.920000076293945
"ALT","Altimmune, Inc. - Common Stock",12.93000030517578
"AMKR","Amkor Technology, Inc. - Common Stock",19.8799991607666
"AMPH","Amphastar Pharmaceuticals, Inc. - Common Stock",18.049999237060547
"AMRN","Amarin Corporation plc - American Depositary Shares, each representing one Ordinary Share",4.539999961853027
"AMRS","Amyris, Inc. - Common Stock",11.40999984741211
"ANGI","Angi Inc. - Class A Common Stock",14.039999961853027
"ANTE","AirNet Technology Inc. - American Depositary Shares, each representing ten ordinary shares",3.640000104904175
"APYX","Apyx Medical Corporation - Common Stock",9.34000015258789
"AQB","AquaBounty Technologies, Inc. - Common Stock",5.179999828338623
"AQST","Aquestive Therapeutics, Inc. - Common Stock",3.509999990463257
"ARAV","Aravive, Inc. - Common Stock",4.840000152587891
"ARAY","Accuray Incorporated - Common Stock",4.510000228881836
"ARCC","Ares Capital Corporation - Closed End Fund",19.059999465942383
"ARLP","Alliance Resource Partners, L.P. - Common Units Representing Limited Partnership Interests",5.849999904632568
"ARVL","Arrival - Ordinary Shares",17.950000762939453
"ARYA","ARYA Sciences Acquisition Corp III - Class A Ordinary Shares",10.119999885559082
"ASMB","Assembly Biosciences, Inc. - Common Stock",3.920000076293945
"ASPS","Altisource Portfolio Solutions S.A. - Common Stock",6.849999904632568
"ASPU","Aspen Group Inc. - Common Stock",5.239999771118164
"ASRT","Assertio Holdings, Inc. - Common Stock",0.5
"ASRV","AmeriServ Financial Inc. - Common Stock",4.28000020980835
"ASUR","Asure Software Inc - Common Stock",8.100000381469727
"ASYS","Amtech Systems, Inc. - Common Stock",10.0
"ATAX","America First Multifamily Investors, L.P. - Beneficial Unit Certificates (BUCs) representing Limited Partnership Interests",5.940000057220459
"ATHX","Athersys, Inc. - Common Stock",1.559999942779541
"ATRA","Atara Biotherapeutics, Inc. - Common Stock",12.890000343322754
"ATRS","Antares Pharma, Inc. - Common Stock",3.5999999046325684
